

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
274.271  000.409  000.409: require('cmp.utils.highlight')
274.966  000.336  000.336: require('cmp.utils.debug')
274.982  000.704  000.367: require('cmp.utils.autocmd')
275.596  008.814  001.018: sourcing C:/Users/Kusha/AppData/Local/nvim-data/lazy/nvim-cmp/plugin/cmp.lua
282.736  002.147  002.147: require('vim.filetype')
289.130  000.181  000.181: require('luasnip.util.types')
289.143  000.389  000.208: require('luasnip.util.ext_opts')
289.760  000.180  000.180: require('luasnip.util.lazy_table')
289.983  000.215  000.215: require('luasnip.extras.filetype_functions')
290.002  000.647  000.252: require('luasnip.default_config')
290.007  000.860  000.213: require('luasnip.session')
290.012  006.915  005.666: require('luasnip.config')
290.449  000.203  000.203: require('luasnip.util.util')
290.849  000.183  000.183: require('luasnip.nodes.key_indexer')
290.861  000.405  000.221: require('luasnip.nodes.util')
291.276  000.179  000.179: require('luasnip.session.snippet_collection.source')
291.466  000.170  000.170: require('luasnip.util.table')
291.656  000.183  000.183: require('luasnip.util.auto_table')
291.668  000.802  000.270: require('luasnip.session.snippet_collection')
292.233  000.179  000.179: require('luasnip.util.select')
292.433  000.193  000.193: require('luasnip.util.time')
292.858  001.003  000.631: require('luasnip.util._builtin_vars')
293.043  001.371  000.368: require('luasnip.util.environ')
293.255  000.205  000.205: require('luasnip.util.extend_decorator')
293.774  000.292  000.292: require('luasnip.util.path')
294.335  000.363  000.363: require('luasnip.util.log')
294.345  000.564  000.201: require('luasnip.loaders.util')
294.534  000.184  000.184: require('luasnip.loaders.data')
294.774  000.233  000.233: require('luasnip.loaders.fs_watchers')
294.783  001.520  000.246: require('luasnip.loaders')
294.822  004.800  000.295: require('luasnip')
294.858  014.580  000.718: sourcing C:/Users/Kusha/AppData/Local/nvim-data/lazy/LuaSnip/plugin/luasnip.lua
295.205  000.057  000.057: sourcing C:/Users/Kusha/AppData/Local/nvim-data/lazy/LuaSnip/plugin/luasnip.vim
296.012  000.261  000.261: require('lsp-zero.setup')
296.024  000.433  000.173: sourcing C:/Users/Kusha/AppData/Local/nvim-data/lazy/lsp-zero.nvim/plugin/lsp-zero.lua
296.515  000.189  000.189: require('lsp-zero.cmp')
297.329  000.195  000.195: require('cmp.utils.char')
297.343  000.406  000.211: require('cmp.utils.str')
297.911  000.175  000.175: require('cmp.utils.buffer')
297.921  000.373  000.198: require('cmp.utils.keymap')
297.927  000.576  000.203: require('cmp.utils.feedkeys')
298.473  000.179  000.179: require('cmp.config.mapping')
298.650  000.170  000.170: require('cmp.utils.cache')
299.040  000.201  000.201: require('cmp.config.compare')
299.048  000.387  000.186: require('cmp.config.default')
299.061  000.946  000.210: require('cmp.config')
299.089  001.158  000.212: require('cmp.utils.async')
299.443  000.172  000.172: require('cmp.utils.pattern')
299.452  000.358  000.186: require('cmp.context')
300.025  000.174  000.174: require('cmp.matcher')
300.035  000.394  000.220: require('cmp.entry')
300.043  000.587  000.193: require('cmp.source')
300.399  000.169  000.169: require('cmp.utils.event')
301.073  000.310  000.310: require('cmp.utils.options')
301.084  000.501  000.191: require('cmp.utils.window')
301.091  000.684  000.183: require('cmp.view.docs_view')
301.349  000.241  000.241: require('cmp.view.custom_entries_view')
301.566  000.210  000.210: require('cmp.view.wildmenu_entries_view')
301.769  000.196  000.196: require('cmp.view.native_entries_view')
301.992  000.216  000.216: require('cmp.view.ghost_text_view')
302.007  001.961  000.245: require('cmp.view')
302.485  005.755  000.709: require('cmp.core')
302.781  000.203  000.203: require('cmp.config.sources')
302.970  000.180  000.180: require('cmp.config.window')
303.036  006.510  000.372: require('cmp')
304.227  000.223  000.223: require('lsp-zero.api')
304.238  008.149  001.228: require('lsp-zero')
304.454  000.211  000.211: require('lsp-zero.server')
304.956  000.290  000.290: require('lspconfig.util')
305.172  000.208  000.208: require('lspconfig.async')
305.180  000.719  000.221: require('lspconfig.configs')
305.563  000.187  000.187: require('cmp_nvim_lsp.source')
305.572  000.386  000.198: require('cmp_nvim_lsp')
305.860  000.216  000.216: require('lspconfig')
306.121  000.226  000.226: require('lspconfig.server_configurations.lua_ls')
320.738  000.234  000.234: require('lspconfig.manager')
320.974  000.224  000.224: require('lspconfig.server_configurations.tsserver')
335.355  000.249  000.249: require('lspconfig.server_configurations.jdtls')
349.656  000.190  000.190: require('mason-core.path')
350.146  000.246  000.246: require('mason-core.functional')
350.560  000.177  000.177: require('mason-core.functional.data')
350.570  000.371  000.195: require('mason-core.functional.function')
350.789  000.178  000.178: require('mason-core.functional.relation')
351.005  000.205  000.205: require('mason-core.functional.logic')
351.020  001.355  000.354: require('mason-core.platform')
351.214  000.190  000.190: require('mason.settings')
351.221  001.971  000.236: require('mason')
351.732  000.200  000.200: require('mason-core.functional.list')
351.955  000.214  000.214: require('mason-core.functional.string')
352.002  000.679  000.266: require('mason.api.command')
352.228  000.215  000.215: require('mason-registry.sources')
352.686  000.245  000.245: require('mason-core.log')
352.898  000.205  000.205: require('mason-lspconfig.settings')
352.910  000.668  000.219: require('mason-lspconfig')
353.327  000.185  000.185: require('mason-lspconfig.notify')
353.337  000.403  000.217: require('mason-lspconfig.lspconfig_hook')
353.762  000.187  000.187: require('mason-core.functional.table')
353.815  000.474  000.288: require('mason-lspconfig.mappings.server')
354.244  000.187  000.187: require('mason-core.EventEmitter')
354.438  000.186  000.186: require('mason-core.optional')
